domain,rq,value_head,source_stage,inference,displayed_score,status,weight_file,source_jobs,packaged_logs,teacher,estimator_coeff,puct,width,iterations,seed,validation,note
Block Grouping,RQ1,off,stage 1,policy,17/20,completed historical baseline,weights/block_grouping/rq2_vh_off_stage1_snapshot_948.pkl,18595894,logs/block_grouping/rq1_vh_off_stage1_policy_17of20_job18595894.log.gz,hadd-gbfs,,,,,42,VAL-confirmed,Exact original evaluation log; no replacement rerun.
Block Grouping,RQ2,off,stage 1,MCTS,18/20,completed,weights/block_grouping/rq2_vh_off_stage1_snapshot_948.pkl,20369743,logs/block_grouping/rq2_vh_off_stage1_mcts_18of20_job20369743.log.gz,hadd-gbfs,0.5,1.0,5,3,42,VAL-confirmed,"Fast historical-configuration reproduction; current corrected evaluator."
Block Grouping,RQ1,off,stage 2,policy,15/20,completed,weights/block_grouping/rq2_vh_off_stage2_anchor30_job19975583_epoch87,20013346,logs/block_grouping/rq2_vh_off_stage2_policy_15of20_job20013346.log.gz,hadd-gbfs,,,,,42,VAL-confirmed,Anchor coefficient 30; selected epoch 87.
Block Grouping,RQ2,off,stage 2,MCTS,15/20 narrow,completed,weights/block_grouping/rq2_vh_off_stage2_anchor30_job19975583_epoch87,20204263,logs/block_grouping/rq2_vh_off_stage2_mcts_narrow_15of20_job20204263.log.gz,hadd-gbfs,0.5,0.1,5,20,42,VAL-confirmed,"Normal width-20 result was 8/20 and is retained in the additional logs."
Block Grouping,RQ3,on,stage 1,policy,15/20,completed historical baseline,weights/block_grouping/rq4_vh_on_stage1_snapshot_59,19452920,logs/block_grouping/rq3_vh_on_stage1_policy_exact_checkpoint_16of20_job19452920.log.gz,hadd-gbfs,,,,,42,VAL-confirmed,"The exact packaged checkpoint rerun scored 16/20; the showcased table retains the previously reported conservative 15/20 baseline."
Block Grouping,RQ4,on,stage 1,MCTS,16/20 narrow,completed,weights/block_grouping/rq4_vh_on_stage1_snapshot_59,20306426,logs/block_grouping/rq4_vh_on_stage1_mcts_16of20_job20306426.log.gz,hadd-gbfs,0.5,0.1,5,20,42,VAL-confirmed,
Block Grouping,RQ3,on,stage 2,policy,15/20,completed,weights/block_grouping/rq4_vh_on_stage2_anchor1_job19936815_epoch91,20013355,logs/block_grouping/rq4_vh_on_stage2_policy_15of20_job20013355.log.gz,hadd-gbfs,,,,,42,VAL-confirmed,Anchor coefficient 1; selected epoch 91.
Block Grouping,RQ4,on,stage 2,MCTS,15/20 narrow,completed,weights/block_grouping/rq4_vh_on_stage2_anchor1_job19936815_epoch91,20204267,logs/block_grouping/rq4_vh_on_stage2_mcts_narrow_15of20_job20204267.log.gz,hadd-gbfs,0.5,0.1,5,20,42,VAL-confirmed,"Normal width-20 result was 9/20 and is retained in the additional logs."
Drone,RQ1,off,stage 1,policy,6/20,completed historical baseline,weights/drone/rq2_vh_off_stage1_snapshot_56.pkl,18607178,logs/drone/rq1_vh_off_stage1_policy_6of20_job18607178.log.gz,hadd-astar,,,,,42,VAL-confirmed,Exact original evaluation log; no replacement rerun.
Drone,RQ2,off,stage 1,MCTS,6/20,completed,weights/drone/rq2_vh_off_stage1_snapshot_56.pkl,20251203,logs/drone/rq2_vh_off_stage1_mcts_6of20_job20251203.log.gz,hadd-astar,0.5,0.1,20,70,42,VAL-confirmed,
