manifest_id,cohort,seed,domain,domain_label,value_head,rq_scope,task_type,stage,variant,architecture,teacher,source_checkpoint_ref,supervised_lr,max_epochs,original_training_set,estimator,puct,tree_sampling,anchor,width,iterations,workers,jpddl_heap,cpus,memory,time_limit,instance_timeout,completion_mode,dependency_ref,checkpoint_selection,status,notes
block_grouping-off-1963100312-stage2-mcts_eval-normal,prospective-ten,1963100312,block_grouping,Block Grouping,off,RQ1/RQ2,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:off:1963100312,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-off-1963100312-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-off-2011206605-stage2-mcts_eval-normal,prospective-ten,2011206605,block_grouping,Block Grouping,off,RQ1/RQ2,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:off:2011206605,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-off-2011206605-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-off-1073581256-stage2-mcts_eval-normal,prospective-ten,1073581256,block_grouping,Block Grouping,off,RQ1/RQ2,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:off:1073581256,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-off-1073581256-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-off-1239739722-stage2-mcts_eval-normal,prospective-ten,1239739722,block_grouping,Block Grouping,off,RQ1/RQ2,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:off:1239739722,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-off-1239739722-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-off-1472491096-stage2-mcts_eval-normal,prospective-ten,1472491096,block_grouping,Block Grouping,off,RQ1/RQ2,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:off:1472491096,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-off-1472491096-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-off-534933607-stage2-mcts_eval-normal,prospective-ten,534933607,block_grouping,Block Grouping,off,RQ1/RQ2,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:off:534933607,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-off-534933607-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-off-2082152039-stage2-mcts_eval-normal,prospective-ten,2082152039,block_grouping,Block Grouping,off,RQ1/RQ2,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:off:2082152039,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-off-2082152039-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-off-1510771779-stage2-mcts_eval-normal,prospective-ten,1510771779,block_grouping,Block Grouping,off,RQ1/RQ2,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:off:1510771779,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-off-1510771779-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-off-923500475-stage2-mcts_eval-normal,prospective-ten,923500475,block_grouping,Block Grouping,off,RQ1/RQ2,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:off:923500475,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-off-923500475-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-off-1972442430-stage2-mcts_eval-normal,prospective-ten,1972442430,block_grouping,Block Grouping,off,RQ1/RQ2,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:off:1972442430,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-off-1972442430-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-on-1963100312-stage2-mcts_eval-normal,prospective-ten,1963100312,block_grouping,Block Grouping,on,RQ3/RQ4,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:on:1963100312,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-on-1963100312-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-on-2011206605-stage2-mcts_eval-normal,prospective-ten,2011206605,block_grouping,Block Grouping,on,RQ3/RQ4,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:on:2011206605,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-on-2011206605-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-on-1073581256-stage2-mcts_eval-normal,prospective-ten,1073581256,block_grouping,Block Grouping,on,RQ3/RQ4,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:on:1073581256,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-on-1073581256-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-on-1239739722-stage2-mcts_eval-normal,prospective-ten,1239739722,block_grouping,Block Grouping,on,RQ3/RQ4,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:on:1239739722,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-on-1239739722-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-on-1472491096-stage2-mcts_eval-normal,prospective-ten,1472491096,block_grouping,Block Grouping,on,RQ3/RQ4,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:on:1472491096,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-on-1472491096-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-on-534933607-stage2-mcts_eval-normal,prospective-ten,534933607,block_grouping,Block Grouping,on,RQ3/RQ4,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:on:534933607,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-on-534933607-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-on-2082152039-stage2-mcts_eval-normal,prospective-ten,2082152039,block_grouping,Block Grouping,on,RQ3/RQ4,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:on:2082152039,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-on-2082152039-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-on-1510771779-stage2-mcts_eval-normal,prospective-ten,1510771779,block_grouping,Block Grouping,on,RQ3/RQ4,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:on:1510771779,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-on-1510771779-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-on-923500475-stage2-mcts_eval-normal,prospective-ten,923500475,block_grouping,Block Grouping,on,RQ3/RQ4,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:on:923500475,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-on-923500475-stage2-train-primary,preselected dependency checkpoint,planned,
block_grouping-on-1972442430-stage2-mcts_eval-normal,prospective-ten,1972442430,block_grouping,Block Grouping,on,RQ3/RQ4,mcts_eval,stage2,normal,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage2:block_grouping:on:1972442430,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,block_grouping-on-1972442430-stage2-train-primary,preselected dependency checkpoint,planned,
rover-on-1963100312-stage2-mcts_eval-normal70,prospective-ten,1963100312,rover,Rover,on,RQ3/RQ4,mcts_eval,stage2,normal70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage2:rover:on:1963100312,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,rover-on-1963100312-stage2-train-primary,preselected dependency checkpoint,planned,
rover-on-2011206605-stage2-mcts_eval-normal70,prospective-ten,2011206605,rover,Rover,on,RQ3/RQ4,mcts_eval,stage2,normal70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage2:rover:on:2011206605,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,rover-on-2011206605-stage2-train-primary,preselected dependency checkpoint,planned,
rover-on-1073581256-stage2-mcts_eval-normal70,prospective-ten,1073581256,rover,Rover,on,RQ3/RQ4,mcts_eval,stage2,normal70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage2:rover:on:1073581256,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,rover-on-1073581256-stage2-train-primary,preselected dependency checkpoint,planned,
rover-on-1239739722-stage2-mcts_eval-normal70,prospective-ten,1239739722,rover,Rover,on,RQ3/RQ4,mcts_eval,stage2,normal70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage2:rover:on:1239739722,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,rover-on-1239739722-stage2-train-primary,preselected dependency checkpoint,planned,
rover-on-1472491096-stage2-mcts_eval-normal70,prospective-ten,1472491096,rover,Rover,on,RQ3/RQ4,mcts_eval,stage2,normal70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage2:rover:on:1472491096,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,rover-on-1472491096-stage2-train-primary,preselected dependency checkpoint,planned,
rover-on-534933607-stage2-mcts_eval-normal70,prospective-ten,534933607,rover,Rover,on,RQ3/RQ4,mcts_eval,stage2,normal70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage2:rover:on:534933607,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,rover-on-534933607-stage2-train-primary,preselected dependency checkpoint,planned,
rover-on-2082152039-stage2-mcts_eval-normal70,prospective-ten,2082152039,rover,Rover,on,RQ3/RQ4,mcts_eval,stage2,normal70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage2:rover:on:2082152039,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,rover-on-2082152039-stage2-train-primary,preselected dependency checkpoint,planned,
rover-on-1510771779-stage2-mcts_eval-normal70,prospective-ten,1510771779,rover,Rover,on,RQ3/RQ4,mcts_eval,stage2,normal70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage2:rover:on:1510771779,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,rover-on-1510771779-stage2-train-primary,preselected dependency checkpoint,planned,
rover-on-923500475-stage2-mcts_eval-normal70,prospective-ten,923500475,rover,Rover,on,RQ3/RQ4,mcts_eval,stage2,normal70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage2:rover:on:923500475,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,rover-on-923500475-stage2-train-primary,preselected dependency checkpoint,planned,
rover-on-1972442430-stage2-mcts_eval-normal70,prospective-ten,1972442430,rover,Rover,on,RQ3/RQ4,mcts_eval,stage2,normal70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,selected:stage2:rover:on:1972442430,,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,rover-on-1972442430-stage2-train-primary,preselected dependency checkpoint,planned,
