manifest_id,cohort,seed,domain,domain_label,value_head,rq_scope,task_type,stage,variant,architecture,teacher,source_checkpoint_ref,supervised_lr,max_epochs,original_training_set,estimator,puct,tree_sampling,anchor,width,iterations,workers,jpddl_heap,cpus,memory,time_limit,instance_timeout,completion_mode,dependency_ref,checkpoint_selection,status,notes
block_grouping-off-1963100312-stage2-train-primary,prospective-ten,1963100312,block_grouping,Block Grouping,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage1:block_grouping:off:1963100312,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,block_grouping-off-1963100312-stage1-train-primary,validation-best; never test-selected,planned,
block_grouping-off-2011206605-stage2-train-primary,prospective-ten,2011206605,block_grouping,Block Grouping,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage1:block_grouping:off:2011206605,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,block_grouping-off-2011206605-stage1-train-primary,validation-best; never test-selected,planned,
block_grouping-off-1073581256-stage2-train-primary,prospective-ten,1073581256,block_grouping,Block Grouping,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage1:block_grouping:off:1073581256,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,block_grouping-off-1073581256-stage1-train-primary,validation-best; never test-selected,planned,
block_grouping-off-1239739722-stage2-train-primary,prospective-ten,1239739722,block_grouping,Block Grouping,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage1:block_grouping:off:1239739722,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,block_grouping-off-1239739722-stage1-train-primary,validation-best; never test-selected,planned,
block_grouping-off-1472491096-stage2-train-primary,prospective-ten,1472491096,block_grouping,Block Grouping,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage1:block_grouping:off:1472491096,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,block_grouping-off-1472491096-stage1-train-primary,validation-best; never test-selected,planned,
block_grouping-off-534933607-stage2-train-primary,prospective-ten,534933607,block_grouping,Block Grouping,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage1:block_grouping:off:534933607,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,block_grouping-off-534933607-stage1-train-primary,validation-best; never test-selected,planned,
block_grouping-off-2082152039-stage2-train-primary,prospective-ten,2082152039,block_grouping,Block Grouping,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage1:block_grouping:off:2082152039,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,block_grouping-off-2082152039-stage1-train-primary,validation-best; never test-selected,planned,
block_grouping-off-1510771779-stage2-train-primary,prospective-ten,1510771779,block_grouping,Block Grouping,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage1:block_grouping:off:1510771779,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,block_grouping-off-1510771779-stage1-train-primary,validation-best; never test-selected,planned,
block_grouping-off-923500475-stage2-train-primary,prospective-ten,923500475,block_grouping,Block Grouping,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage1:block_grouping:off:923500475,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,block_grouping-off-923500475-stage1-train-primary,validation-best; never test-selected,planned,
block_grouping-off-1972442430-stage2-train-primary,prospective-ten,1972442430,block_grouping,Block Grouping,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage1:block_grouping:off:1972442430,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,block_grouping-off-1972442430-stage1-train-primary,validation-best; never test-selected,planned,
block_grouping-on-1963100312-stage2-train-primary,prospective-ten,1963100312,block_grouping,Block Grouping,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,selected:stage1:block_grouping:on:1963100312,0.0003,100,True,0.5,0.1,0,1,20,0,3,4g,6,48G,3-00:00:00,,,block_grouping-on-1963100312-stage1-train-primary,validation-best; never test-selected,planned,
