value_head,seed,policy_success,mcts_success,policy_success_mcts_failure,ordinary_unsolved,instance_timeout,unclassified,mcts_job_id,policy_job_id,policy_log,mcts_completion_ledger
off,534933607,6,9,0,0,0,0,20649849,20465165,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465165_Ev_counters_counters_orig_novh_c.1_s534933607_SR10P_src20430422_e0008.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/.resume_state/20649849.eval_completed.jsonl
off,923500475,32,33,0,0,0,0,20649852,20465209,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465209_Ev_counters_counters_orig_novh_c.1_s923500475_SR10P_src20430425_e0000.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/.resume_state/20649852.eval_completed.jsonl
off,1073581256,53,51,2,2,0,0,20649846,20451602,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20451602_Ev_counters_counters_orig_novh_c.1_s1073581256_SR10P_src20430419_e0000.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/.resume_state/20649846.eval_completed.jsonl
off,1239739722,21,22,0,0,0,0,20649847,20465054,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465054_Ev_counters_counters_orig_novh_c.1_s1239739722_SR10P_src20430420_e0005.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/.resume_state/20649847.eval_completed.jsonl
off,1472491096,18,18,0,0,0,0,20649848,20465075,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465075_Ev_counters_counters_orig_novh_c.1_s1472491096_SR10P_src20430421_e0005.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/.resume_state/20649848.eval_completed.jsonl
off,1510771779,45,48,0,0,0,0,20649851,20465208,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465208_Ev_counters_counters_orig_novh_c.1_s1510771779_SR10P_src20430424_e0037.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/.resume_state/20649851.eval_completed.jsonl
off,1963100312,59,49,10,9,0,1,20649844,20451601,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20451601_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20430416_e0033.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/.resume_state/20649844.eval_completed.jsonl
off,1972442430,37,38,0,0,0,0,20649853,20465251,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465251_Ev_counters_counters_orig_novh_c.1_s1972442430_SR10P_src20430426_e0082.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/.resume_state/20649853.eval_completed.jsonl
off,2011206605,39,40,0,0,0,0,20649845,20465052,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465052_Ev_counters_counters_orig_novh_c.1_s2011206605_SR10P_src20430417_e0012.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/.resume_state/20649845.eval_completed.jsonl
off,2082152039,59,59,0,0,0,0,20649850,20465166,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465166_Ev_counters_counters_orig_novh_c.1_s2082152039_SR10P_src20430423_e0000.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/.resume_state/20649850.eval_completed.jsonl
