domain,distribution,n,metric,min,mean,median,max
fo_counters,paper_test,20,counters,2.0,11.5,11.5,21.0
fo_counters,paper_test,20,max_int,4.0,23.0,23.0,42.0
fo_counters,paper_test,20,init_nonzero_fraction,0.0,0.0,0.0,0.0
fo_counters,paper_test,20,goals,1.0,10.5,10.5,20.0
fo_counters,thesis_validation,30,counters,2.0,7.533333333333333,7.5,16.0
fo_counters,thesis_validation,30,max_int,10.0,23.333333333333332,20.0,40.0
fo_counters,thesis_validation,30,init_nonzero_fraction,0.75,0.9592183742183742,1.0,1.0
fo_counters,thesis_validation,30,goals,1.0,6.533333333333333,6.5,15.0
fo_counters,yarin_external,20,counters,2.0,8.85,8.5,20.0
fo_counters,yarin_external,20,max_int,42.0,42.0,42.0,42.0
fo_counters,yarin_external,20,init_nonzero_fraction,0.8571428571428571,0.9853571428571428,1.0,1.0
fo_counters,yarin_external,20,goals,1.0,7.85,7.5,19.0
rover,paper_test,20,rover,1.0,3.75,4.0,8.0
rover,paper_test,20,waypoint,4.0,9.5,7.5,25.0
rover,paper_test,20,objective,2.0,4.0,3.5,8.0
rover,paper_test,20,camera,1.0,4.25,4.0,7.0
rover,paper_test,20,visible_edges,8.0,56.8,36.0,206.0
rover,paper_test,20,traverse_edges,6.0,81.1,51.0,382.0
rover,paper_test,20,goals,3.0,8.95,8.5,20.0
rover,thesis_validation,30,rover,1.0,2.6,2.5,5.0
rover,thesis_validation,30,waypoint,4.0,9.033333333333333,7.5,20.0
rover,thesis_validation,30,objective,1.0,3.2333333333333334,2.0,8.0
rover,thesis_validation,30,camera,1.0,3.7,3.0,8.0
rover,thesis_validation,30,visible_edges,9.0,26.7,18.5,69.0
rover,thesis_validation,30,traverse_edges,6.0,62.0,33.0,234.0
rover,thesis_validation,30,goals,3.0,6.6,4.0,16.0
