evidence_type,domain,value_head,n,status_from_20260910,new_training,new_policy_evaluation,new_mcts_evaluation,primary_tables_or_plots,source
policy_refinement,block_grouping,off,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/policy_paired_seed_results.csv
policy_refinement,block_grouping,on,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/policy_paired_seed_results.csv
policy_refinement,counters,off,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/policy_paired_seed_results.csv
policy_refinement,counters,on,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/policy_paired_seed_results.csv
policy_refinement,drone,off,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/policy_paired_seed_results.csv
policy_refinement,drone,on,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/policy_paired_seed_results.csv
policy_refinement,fo_counters,off,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/policy_paired_seed_results.csv
policy_refinement,fo_counters,on,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/policy_paired_seed_results.csv
policy_refinement,rover,off,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/policy_paired_seed_results.csv
policy_refinement,rover,on,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/policy_paired_seed_results.csv
mcts_inference,block_grouping,off,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
mcts_inference,block_grouping,on,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
mcts_inference,counters,off,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
mcts_inference,counters,on,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
mcts_inference,drone,off,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
mcts_inference,drone,on,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
mcts_inference,fo_counters,off,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
mcts_inference,fo_counters,on,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
mcts_inference,rover,off,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
mcts_inference,rover,on,10,archived_sensitivity_only,no,no,no,exclude,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv
