array_index,experiment_id,domain,value_head,seed,source_training_job_id,source_policy_job_id,source_checkpoint,external_generator_repo,external_generator_commit,external_freeze_seed,instances,workers,cpus,memory_gib,walltime,submission_state,source_result_row
0,EXTERNAL-GENERATOR-SCREEN,fo_counters,off,1073581256,20401230,20426859,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750965/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-1247c09/snapshots/snapshot_22_1.000",https://github.com/SPL-BGU/pddl-problem-generator,b64e5d086117ebd5c1d53fbe9a9d93ae609a59fb,20260910,20,6,6,40,12:00:00,approved_ready,experiment_tracking/experiment_results.csv
1,EXTERNAL-GENERATOR-SCREEN,fo_counters,off,1963100312,20401228,20426778,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750809/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_8_1.000",https://github.com/SPL-BGU/pddl-problem-generator,b64e5d086117ebd5c1d53fbe9a9d93ae609a59fb,20260910,20,6,6,40,12:00:00,approved_ready,experiment_tracking/experiment_results.csv
2,EXTERNAL-GENERATOR-SCREEN,fo_counters,off,2011206605,20401229,20426824,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:55.750806/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_46_1.000",https://github.com/SPL-BGU/pddl-problem-generator,b64e5d086117ebd5c1d53fbe9a9d93ae609a59fb,20260910,20,6,6,40,12:00:00,approved_ready,experiment_tracking/experiment_results.csv
3,EXTERNAL-GENERATOR-SCREEN,fo_counters,on,1073581256,20401220,20426139,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:09.105162/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_106_1.000",https://github.com/SPL-BGU/pddl-problem-generator,b64e5d086117ebd5c1d53fbe9a9d93ae609a59fb,20260910,20,6,6,40,12:00:00,approved_ready,experiment_tracking/experiment_results.csv
4,EXTERNAL-GENERATOR-SCREEN,fo_counters,on,1963100312,20401218,20425875,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:09.116765/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_11_1.000",https://github.com/SPL-BGU/pddl-problem-generator,b64e5d086117ebd5c1d53fbe9a9d93ae609a59fb,20260910,20,6,6,40,12:00:00,approved_ready,experiment_tracking/experiment_results.csv
5,EXTERNAL-GENERATOR-SCREEN,fo_counters,on,2011206605,20401219,20426065,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:09.114894/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_51_1.000",https://github.com/SPL-BGU/pddl-problem-generator,b64e5d086117ebd5c1d53fbe9a9d93ae609a59fb,20260910,20,6,6,40,12:00:00,approved_ready,experiment_tracking/experiment_results.csv
6,EXTERNAL-GENERATOR-SCREEN,rover,off,1073581256,20401250,20428109,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:53.487394/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_40_0.625",https://github.com/SPL-BGU/pddl-problem-generator,b64e5d086117ebd5c1d53fbe9a9d93ae609a59fb,20260910,20,6,6,40,12:00:00,approved_ready,experiment_tracking/experiment_results.csv
7,EXTERNAL-GENERATOR-SCREEN,rover,off,1963100312,20401248,20428037,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854128/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_25_0.375",https://github.com/SPL-BGU/pddl-problem-generator,b64e5d086117ebd5c1d53fbe9a9d93ae609a59fb,20260910,20,6,6,40,12:00:00,approved_ready,experiment_tracking/experiment_results.csv
8,EXTERNAL-GENERATOR-SCREEN,rover,off,2011206605,20401249,20428091,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854160/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_44_0.625",https://github.com/SPL-BGU/pddl-problem-generator,b64e5d086117ebd5c1d53fbe9a9d93ae609a59fb,20260910,20,6,6,40,12:00:00,approved_ready,experiment_tracking/experiment_results.csv
9,EXTERNAL-GENERATOR-SCREEN,rover,on,1073581256,20401240,20427494,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:54.950216/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905448-1247c09/snapshots/snapshot_143_0.625",https://github.com/SPL-BGU/pddl-problem-generator,b64e5d086117ebd5c1d53fbe9a9d93ae609a59fb,20260910,20,6,6,40,12:00:00,approved_ready,experiment_tracking/experiment_results.csv
10,EXTERNAL-GENERATOR-SCREEN,rover,on,1963100312,20401238,20427194,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:54.950033/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_70_0.625",https://github.com/SPL-BGU/pddl-problem-generator,b64e5d086117ebd5c1d53fbe9a9d93ae609a59fb,20260910,20,6,6,40,12:00:00,approved_ready,experiment_tracking/experiment_results.csv
